"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SUICIDE","TOT","100000PER","A","1995",12.2,
"AUS","SUICIDE","TOT","100000PER","A","2013",11.3,
"AUT","SUICIDE","TOT","100000PER","A","1995",22.4,
"AUT","SUICIDE","TOT","100000PER","A","2013",13.6,
"BEL","SUICIDE","TOT","100000PER","A","1995",21.1,
"BEL","SUICIDE","TOT","100000PER","A","2013",16.2,
"CAN","SUICIDE","TOT","100000PER","A","1995",13.4,
"CAN","SUICIDE","TOT","100000PER","A","2013",11.1,
"CZE","SUICIDE","TOT","100000PER","A","1995",17.7,
"CZE","SUICIDE","TOT","100000PER","A","2013",14.2,
"DNK","SUICIDE","TOT","100000PER","A","1995",17.5,
"DNK","SUICIDE","TOT","100000PER","A","2013",10.3,
"FIN","SUICIDE","TOT","100000PER","A","1995",26.9,
"FIN","SUICIDE","TOT","100000PER","A","2013",15.8,
"FRA","SUICIDE","TOT","100000PER","A","1995",20.4,
"FRA","SUICIDE","TOT","100000PER","A","2013",14.3,
"DEU","SUICIDE","TOT","100000PER","A","1995",15.3,
"DEU","SUICIDE","TOT","100000PER","A","2013",10.8,
"GRC","SUICIDE","TOT","100000PER","A","1995",3.5,
"GRC","SUICIDE","TOT","100000PER","A","2013",4.5,
"HUN","SUICIDE","TOT","100000PER","A","1995",33.8,
"HUN","SUICIDE","TOT","100000PER","A","2013",19.4,
"ISL","SUICIDE","TOT","100000PER","A","1995",10.7,
"ISL","SUICIDE","TOT","100000PER","A","2013",16,
"IRL","SUICIDE","TOT","100000PER","A","1995",11.8,
"IRL","SUICIDE","TOT","100000PER","A","2013",10.9,
"ITA","SUICIDE","TOT","100000PER","A","1995",7.7,
"ITA","SUICIDE","TOT","100000PER","A","2013",6.3,
"JPN","SUICIDE","TOT","100000PER","A","1995",16.9,"B"
"JPN","SUICIDE","TOT","100000PER","A","2013",18.7,
"KOR","SUICIDE","TOT","100000PER","A","1995",12.7,"B"
"KOR","SUICIDE","TOT","100000PER","A","2013",28.7,
"LUX","SUICIDE","TOT","100000PER","A","1995",15.2,
"LUX","SUICIDE","TOT","100000PER","A","2013",7.3,
"MEX","SUICIDE","TOT","100000PER","A","1995",4.3,
"MEX","SUICIDE","TOT","100000PER","A","2013",5.2,
"NLD","SUICIDE","TOT","100000PER","A","1995",9.8,
"NLD","SUICIDE","TOT","100000PER","A","2013",10.5,
"NZL","SUICIDE","TOT","100000PER","A","1995",15.1,
"NZL","SUICIDE","TOT","100000PER","A","2013",11.8,
"NOR","SUICIDE","TOT","100000PER","A","1995",12.7,
"NOR","SUICIDE","TOT","100000PER","A","2013",10.8,
"POL","SUICIDE","TOT","100000PER","A","1995",15.2,
"POL","SUICIDE","TOT","100000PER","A","2013",15.5,
"PRT","SUICIDE","TOT","100000PER","A","1995",8.2,
"PRT","SUICIDE","TOT","100000PER","A","2013",8.7,
"SVK","SUICIDE","TOT","100000PER","A","1995",15.1,
"SVK","SUICIDE","TOT","100000PER","A","2013",10.9,
"ESP","SUICIDE","TOT","100000PER","A","1995",8,
"ESP","SUICIDE","TOT","100000PER","A","2013",7.5,
"SWE","SUICIDE","TOT","100000PER","A","1995",15.1,
"SWE","SUICIDE","TOT","100000PER","A","2013",12.3,
"CHE","SUICIDE","TOT","100000PER","A","1995",20.1,"B"
"CHE","SUICIDE","TOT","100000PER","A","2013",12.2,
"GBR","SUICIDE","TOT","100000PER","A","1995",7.4,
"GBR","SUICIDE","TOT","100000PER","A","2013",7.5,
"USA","SUICIDE","TOT","100000PER","A","1995",12.4,
"USA","SUICIDE","TOT","100000PER","A","2013",13.1,
"BRA","SUICIDE","TOT","100000PER","A","1995",5.4,
"BRA","SUICIDE","TOT","100000PER","A","2013",5.8,
"CHL","SUICIDE","TOT","100000PER","A","1995",7.9,
"CHL","SUICIDE","TOT","100000PER","A","2013",10.3,
"EST","SUICIDE","TOT","100000PER","A","1995",42.7,
"EST","SUICIDE","TOT","100000PER","A","2013",15.3,
"ISR","SUICIDE","TOT","100000PER","A","1995",8.4,
"ISR","SUICIDE","TOT","100000PER","A","2013",5.5,
"RUS","SUICIDE","TOT","100000PER","A","1995",43.4,
"RUS","SUICIDE","TOT","100000PER","A","2013",19.3,
"SVN","SUICIDE","TOT","100000PER","A","1995",29,
"SVN","SUICIDE","TOT","100000PER","A","2013",19.6,
"ZAF","SUICIDE","TOT","100000PER","A","1996",0.5,"B"
"ZAF","SUICIDE","TOT","100000PER","A","2013",1.3,
"TUR","SUICIDE","TOT","100000PER","A","2010",2.4,
"TUR","SUICIDE","TOT","100000PER","A","2013",2.6,
"COL","SUICIDE","TOT","100000PER","A","1995",4.2,
"COL","SUICIDE","TOT","100000PER","A","2013",4.8,
"LVA","SUICIDE","TOT","100000PER","A","1995",42,
"LVA","SUICIDE","TOT","100000PER","A","2013",17.8,
"LTU","SUICIDE","TOT","100000PER","A","1995",50,
"LTU","SUICIDE","TOT","100000PER","A","2013",34.8,
"CRI","SUICIDE","TOT","100000PER","A","1995",7.3,
"CRI","SUICIDE","TOT","100000PER","A","2013",6.9,
